avg_log2FC,mean_pct,sample_size,power,avg_log2FC_absolute
2.173185784,0.0985,1,0.77,2.173185784
2.173185784,0.0985,2,0.92,2.173185784
2.173185784,0.0985,3,0.94,2.173185784
2.173185784,0.0985,4,0.95,2.173185784
2.173185784,0.0985,5,0.96,2.173185784
2.173185784,0.0985,6,0.96,2.173185784
2.173185784,0.0985,7,0.97,2.173185784
2.173185784,0.0985,8,0.98,2.173185784
2.173185784,0.0985,9,0.98,2.173185784
2.173185784,0.0985,10,0.97,2.173185784
1.626585294,0.118,1,0.91,1.626585294
1.626585294,0.118,2,0.97,1.626585294
1.626585294,0.118,3,0.97,1.626585294
1.626585294,0.118,4,0.98,1.626585294
1.626585294,0.118,5,0.99,1.626585294
1.626585294,0.118,6,0.99,1.626585294
1.626585294,0.118,7,1,1.626585294
1.626585294,0.118,8,1,1.626585294
1.626585294,0.118,9,1,1.626585294
1.626585294,0.118,10,0.99,1.626585294
-1.79712284,0.059,1,0.02,1.79712284
-1.79712284,0.059,2,0,1.79712284
-1.79712284,0.059,3,0,1.79712284
-1.79712284,0.059,4,0,1.79712284
-1.79712284,0.059,5,0,1.79712284
-1.79712284,0.059,6,0,1.79712284
-1.79712284,0.059,7,0,1.79712284
-1.79712284,0.059,8,0,1.79712284
-1.79712284,0.059,9,0,1.79712284
-1.79712284,0.059,10,0.02,1.79712284
-2.253653362,0.08,1,0.94,2.253653362
-2.253653362,0.08,2,0.97,2.253653362
-2.253653362,0.08,3,0.99,2.253653362
-2.253653362,0.08,4,0.98,2.253653362
-2.253653362,0.08,5,0.99,2.253653362
-2.253653362,0.08,6,0.99,2.253653362
-2.253653362,0.08,7,1,2.253653362
-2.253653362,0.08,8,1,2.253653362
-2.253653362,0.08,9,0.99,2.253653362
-2.253653362,0.08,10,1,2.253653362
0.926376463,0.538,1,0.93,0.926376463
0.926376463,0.538,2,0.94,0.926376463
0.926376463,0.538,3,0.98,0.926376463
0.926376463,0.538,4,0.97,0.926376463
0.926376463,0.538,5,1,0.926376463
0.926376463,0.538,6,1,0.926376463
0.926376463,0.538,7,1,0.926376463
0.926376463,0.538,8,1,0.926376463
0.926376463,0.538,9,1,0.926376463
0.926376463,0.538,10,1,0.926376463
-0.316722584,0.8975,1,0.87,0.316722584
-0.316722584,0.8975,2,0.92,0.316722584
-0.316722584,0.8975,3,0.96,0.316722584
-0.316722584,0.8975,4,0.98,0.316722584
-0.316722584,0.8975,5,0.97,0.316722584
-0.316722584,0.8975,6,0.99,0.316722584
-0.316722584,0.8975,7,0.98,0.316722584
-0.316722584,0.8975,8,0.99,0.316722584
-0.316722584,0.8975,9,0.99,0.316722584
-0.316722584,0.8975,10,0.99,0.316722584
-0.605012367,0.8625,1,0.98,0.605012367
-0.605012367,0.8625,2,0.99,0.605012367
-0.605012367,0.8625,3,1,0.605012367
-0.605012367,0.8625,4,1,0.605012367
-0.605012367,0.8625,5,1,0.605012367
-0.605012367,0.8625,6,1,0.605012367
-0.605012367,0.8625,7,1,0.605012367
-0.605012367,0.8625,8,1,0.605012367
-0.605012367,0.8625,9,1,0.605012367
-0.605012367,0.8625,10,1,0.605012367
-0.552844786,0.3245,1,0.82,0.552844786
-0.552844786,0.3245,2,0.89,0.552844786
-0.552844786,0.3245,3,0.95,0.552844786
-0.552844786,0.3245,4,0.95,0.552844786
-0.552844786,0.3245,5,0.96,0.552844786
-0.552844786,0.3245,6,0.98,0.552844786
-0.552844786,0.3245,7,0.99,0.552844786
-0.552844786,0.3245,8,0.98,0.552844786
-0.552844786,0.3245,9,0.98,0.552844786
-0.552844786,0.3245,10,0.99,0.552844786
1.669724353,0.1805,1,0.79,1.669724353
1.669724353,0.1805,2,0.89,1.669724353
1.669724353,0.1805,3,0.93,1.669724353
1.669724353,0.1805,4,0.94,1.669724353
1.669724353,0.1805,5,0.94,1.669724353
1.669724353,0.1805,6,0.97,1.669724353
1.669724353,0.1805,7,0.97,1.669724353
1.669724353,0.1805,8,0.97,1.669724353
1.669724353,0.1805,9,0.98,1.669724353
1.669724353,0.1805,10,0.98,1.669724353
-3.15246655,0.0385,1,0.79,3.15246655
-3.15246655,0.0385,2,0.93,3.15246655
-3.15246655,0.0385,3,0.95,3.15246655
-3.15246655,0.0385,4,0.95,3.15246655
-3.15246655,0.0385,5,0.96,3.15246655
-3.15246655,0.0385,6,0.97,3.15246655
-3.15246655,0.0385,7,0.97,3.15246655
-3.15246655,0.0385,8,0.98,3.15246655
-3.15246655,0.0385,9,0.98,3.15246655
-3.15246655,0.0385,10,0.98,3.15246655
1.294077649,0.2445,1,0.99,1.294077649
1.294077649,0.2445,2,1,1.294077649
1.294077649,0.2445,3,1,1.294077649
1.294077649,0.2445,4,1,1.294077649
1.294077649,0.2445,5,1,1.294077649
1.294077649,0.2445,6,1,1.294077649
1.294077649,0.2445,7,1,1.294077649
1.294077649,0.2445,8,1,1.294077649
1.294077649,0.2445,9,1,1.294077649
1.294077649,0.2445,10,1,1.294077649
1.732908131,0.342,1,0.97,1.732908131
1.732908131,0.342,2,0.99,1.732908131
1.732908131,0.342,3,1,1.732908131
1.732908131,0.342,4,1,1.732908131
1.732908131,0.342,5,1,1.732908131
1.732908131,0.342,6,1,1.732908131
1.732908131,0.342,7,1,1.732908131
1.732908131,0.342,8,1,1.732908131
1.732908131,0.342,9,1,1.732908131
1.732908131,0.342,10,1,1.732908131
-1.476026406,0.125,1,0,1.476026406
-1.476026406,0.125,2,0,1.476026406
-1.476026406,0.125,3,0,1.476026406
-1.476026406,0.125,4,0,1.476026406
-1.476026406,0.125,5,0,1.476026406
-1.476026406,0.125,6,0,1.476026406
-1.476026406,0.125,7,0,1.476026406
-1.476026406,0.125,8,0,1.476026406
